title,link,snippet
Accelerator-based boron neutron capture therapy facility at the ...,https://pubmed.ncbi.nlm.nih.gov/34569418/,Accelerator-based boron neutron capture therapy facility at the Helsinki University Hospital. Acta Oncol. 2022 Feb;61(2):269-273. doi: ...
A multichannel neutron flux monitoring system for a boron neutron ...,https://iopscience.iop.org/article/10.1088/1748-0221/14/12/P12002,"Dec 5, 2019 ... A multichannel neutron flux monitoring system for a boron neutron capture therapy facility. T.A. Bykov1,2, D.A. Kasatov1,2, A.M. Koshkarev1 ..."
"Neutron yields of Be-9(p,xn) reactions and beam characterization for ...",https://www.sciencedirect.com/science/article/pii/S0168583X20303384,"Sep 1, 2020 ... ... and beam characterization for accelerator-based boron neutron capture therapy facility using MCNP6, PHITS, and GEANT4 simulation results."
Accelerator-based boron neutron capture therapy facility at the ...,https://www.tandfonline.com/doi/full/10.1080/0284186X.2021.1979646,Accelerator-based boron neutron capture therapy facility at the Helsinki University Hospital · Liisa Porra · Tiina Seppälä · Lauri Wendland · Hannu Revitzer · Heikki ...
SCOPING ANALYSIS OF MATERIAL ACTIVATION AT A BORON ...,https://academic.oup.com/rpd/article-abstract/180/1-4/309/4811798,Abstract. Material activation assessment of a proposed accelerator-based boron neutron capture therapy facility was performed using the FLUKA Monte Carlo ...
Investigation of deep-seated brain tumor treatment based on ...,https://journals.lww.com/cancerjournal/Fulltext/2020/16060/Investigation_of_deep_seated_brain_tumor_treatment.40.aspx,Investigation of deep-seated brain tumor treatment based on Tehran research reactor new boron neutron capture therapy facility.
China Builds First Accelerator-based Facility for Boron Neutron ...,https://english.cas.cn/newsroom/research_news/phys/202008/t20200813_241689.shtml,"Aug 13, 2020 ... ... country's first indigenously-developed boron neutron capture therapy facility (BNCT), before applying the technology on cancer patients."
Treatment planning system and patient positioning for boron neutron ...,https://tro.amegroups.com/article/view/4654/5437,"Oct 31, 2018 ... A prospective study to assess the performance of the improved Boron Neutron Capture Therapy Facility in Argentina."
In Vivo Accelerator-Based Boron Neutron Capture Therapy for ...,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8773183/,"Jan 14, 2022 ... ... Smick T., Tenhunen M. Accelerator-based boron neutron capture therapy facility at the Helsinki University Hospital. Acta Oncol."
Accelerator-based boron neutron capture therapy facility at the ...,https://researchportal.helsinki.fi/en/publications/accelerator-based-boron-neutron-capture-therapy-facility-at-the-h,"Accelerator-based boron neutron capture therapy facility at the Helsinki University Hospital. Liisa Porra, Tiina Seppälä, Lauri Wendland, Hannu Revitzer, ..."
Advances of LINAC-based boron neutron capture therapy in Korea ...,https://link.springer.com/article/10.1007/s43673-022-00063-2,"Oct 27, 2022 ... L. Provenzano et al., A prospective study to assess the performance of the improved Boron Neutron Capture Therapy Facility in Argentina."
"Erratum to “Neutron yields of Be-9(p,xn)B-9 reactions and beam ...",https://snucm.elsevierpure.com/en/publications/erratum-to-neutron-yields-of-be-9pxnb-9-reactions-and-beam-charac,"Mar 1, 2021 ... ... characterization for accelerator-based boron neutron capture therapy facility using MCNP6, PHITS, and Geant4 simulation results” [Nucl."
An irradiation facility for Boron Neutron Capture Therapy application ...,https://aip.scitation.org/doi/pdf/10.1063/1.1505128,"generator reported in Table V. 3617. Rev. Sci. Instrum., Vol. 73, No. 10, October 2002. Boron Neutron Capture Therapy Facility ..."
Current status of neutron capture therapy,https://www-pub.iaea.org/mtcd/publications/pdf/te_1223_prn.pdf,"[7] AUTERINEN, I., et al., The new boron neutron capture therapy facility at the Finnish nuclear research reactor, Medical & Biological engineering ..."
[PDF] Beam Shaping Assembly Optimization for Boron Neutron ...,https://www.semanticscholar.org/paper/Beam-Shaping-Assembly-Optimization-for-Boron-Based-Fauzi-Tsurayya/324098209fd0a767abed9cfcc39c70a816687114,"Dec 24, 2018 ... Beam Shaping Assembly Optimization for Boron Neutron Capture Therapy Facility Based on Cyclotron 30 MeV as Neutron Source · Figures and Tables ..."
Lithium-6 Filter for a Fission Converter-Based Boron Neutron ...,http://dspace.mit.edu/bitstream/handle/1721.1/34653/70691894-MIT.pdf?sequence=2,"Apr 15, 2005 ... Boron Neutron Capture Therapy Facility"", Master thesis, Massachusetts Institute of. Technology, August 1998. 5. J.Benczik, T. Seppala, ..."
[PDF] Requirements for Boron Neutron Capture Therapy (BNCT) at ...,https://www.semanticscholar.org/paper/Requirements-for-Boron-Neutron-Capture-Therapy-at-a-Wolfgang-Raymond/ba79fc0234061c12b6b09868a442760243a654bd,Conceptual Shield Design for Boron Neutron Capture Therapy Facility Using Monte Carlo N-Particle Extended Simulator with Kartini Research Reactor as Neutron ...
"NPC deputy says treatments can better target cancers, with fewer ...",http://www.caea.gov.cn/english/n6759509/c6813272/content.html,"Mar 11, 2022 ... Chinese researchers discuss tests for the country's first indigenously-developed boron neutron capture therapy facility (BNCT) at the ..."
The Development of a Commercial Boron Neutron Capture Therapy ...,https://gtr.ukri.org/projects?ref=ST%2FI003169%2F1,The Development of a Commercial Boron Neutron Capture Therapy Facility: establishing a clinically useable facility at Birmingham University.
Promotion of nuclear therapy urged - Chinadaily.com.cn,https://www.chinadaily.com.cn/a/202203/11/WS622aaa97a310cdd39bc8beed.html,"Mar 11, 2022 ... Chinese researchers discuss tests for the country's first indigenously-developed boron neutron capture therapy facility (BNCT) at the ..."
Reactors - ISNCT,https://isnct.net/repository-categories/reactors/,"A prospective study to assess the performance of the improved Boron Neutron Capture Therapy Facility in Argentina. Authors: Lucas Provenzano,Rubén Farías ..."
"Petteri Tiippana on Twitter: ""Visiting a #BNCT (boron neutron ...",https://twitter.com/tiippanap/status/1138854834298396672?lang=en,"Jun 12, 2019 ... Visiting a #BNCT (boron neutron capture therapy) facility being commissioned by @HUS_uutisoi in #Helsinki university hospital."
Evaluation of Pharmacokinetics of Boronophenylalanine ... - Frontiers,https://www.frontiersin.org/articles/10.3389/fonc.2022.925671/full,"Jun 6, 2022 ... Accelerator-Based Boron Neutron Capture Therapy Facility at the Helsinki University Hospital. Acta Oncol (2022) 61:269–73. doi: ..."
MONTE CARLO N PARTICLE EXTENDED (MCNPX) RADIATION ...,https://ejournal.uksw.edu/ijpna/article/view/3318,"Jun 30, 2019 ... MONTE CARLO N PARTICLE EXTENDED (MCNPX) RADIATION SHIELD MODELLING ON BORON NEUTRON CAPTURE THERAPY FACILITY USING D-D NEUTRON GENERATOR 2.4 MeV."
Construction of an Accelerator-based BNCT Facility at yhe Ibaraki ...,https://inspirehep.net/literature/1363359,An accelerator-based BNCT (Boron Neutron Capture Therapy) facility is being constructed at the Ibaraki Neutron Medical Research Center.
Vol. 35 No. 3 (2018): Developments in Nuclear Techniques in the ...,https://ajstd.org/index.php/ajstd/issue/view/75,"Dec 24, 2018 ... Conceptual Shield Design for Boron Neutron Capture Therapy Facility Using Monte Carlo N-Particle Extended Simulator with Kartini Research ..."
FiR 1 - Wikipedia,https://en.wikipedia.org/wiki/FiR_1,"Boron neutron capture therapy facility at FiR 1. In addition to research, the reactor was used for production of radioactive isotopes for industrial ..."
Treatment planning system and patient positioning for boron neutron ...,https://cdn.amegroups.cn/journals/tgh/files/journals/31/articles/4654/public/4654-PB10-7965-R3.pdf,"Oct 31, 2018 ... improved Boron Neutron Capture Therapy Facility in. Argentina. Appl Radiat Isot 2014;88:171-6. 23. Kato I, Ono K, Sakurai Y, et al."
Sergey Taskaev (0000-0002-5313-2563),https://orcid.org/0000-0002-5313-2563,A multichannel neutron flux monitoring system for a boron neutron capture therapy facility. Journal of Instrumentation. 2019-12-05 | Journal article.
Method of Measuring High-LET Particles Dose | Radiation Research,https://bioone.org/journals/radiation-research/volume-196/issue-2/RADE-21-00015.1/Method-of-Measuring-High-LET-Particles-Dose/10.1667/RADE-21-00015.1.pdf,"May 21, 2021 ... system for a boron neutron capture therapy facility. JINST 2019;. 14:P12002. 20. Bykov TA, Kasatov DA, Koshkarev AM, Makarov AN, Porosev."
Method of Measuring High-LET Particles Dose | Radiation Research,https://meridian.allenpress.com/radiation-research/article/196/2/192/465435/Method-of-Measuring-High-LET-Particles-Dose?searchresult=1,"May 21, 2021 ... A multichannel neutron flux monitoring system for a boron neutron capture therapy facility. JINST. 2019. ;. 14. : P12002 . Google Scholar."
From Nuclear Reactor-Based to Proton Accelerator-Based Therapy ...,https://www.liebertpub.com/doi/pdf/10.1089/cbr.2022.0059,boron neutron capture therapy facility at the Helsinki. University Hospital. Acta Oncol 2022;61:269–273; doi: 10.1080/0284186X.2021.1979646.
Construction of a BNCT Facility using an 8-MeV High Power Proton ...,https://inspirehep.net/literature/1126538,An accelerator-based BNCT (Boron Neutron Capture Therapy) facility is now under construction and the entire system including the patient treatment system ...
