title,link,snippet
Continuous Electron Beam Accelerator Facility (CEBAF),https://science.osti.gov/np/Facilities/User-Facilities/CEBAF,Continuous Electron Beam Accelerator Facility (CEBAF). Installation work for the new CLAS12 detector in Jefferson Lab's Experimental Hall B continues. Here.
How does an electron beam accelerator work? | E-BEAM Services,https://ebeamservices.com/blog/electron-beam-accelerator-work/,"May 20, 2014 ... How does an electron beam accelerator work? ... There are several different methods to accelerate electrons to form a beam. The accelerators used ..."
Accelerator Science | Jefferson Lab,https://www.jlab.org/accelerator,"This expertise comes from the planning, building, maintaining and operating of the Continuous Electron Beam Accelerator Facility (CEBAF), the lab's primary ..."
"Electron Beam Accelerators — Energy Sciences, Inc.",https://www.ebeam.com/news-archive/archive/2017/electron-beam-accelerators,"The key to compact electron beam accelerator design in the low voltage range (90 keV to 300 keV) is the use of linear filaments, which eliminate the need to ..."
Untitled,https://www.jlab.org/sites/default/files/facilityfactsheet_sm_0.pdf,Jefferson Lab's Continuous Electron Beam Accelerator Facility (CEBAF) enables world-class fundamental research of the atom's nucleus.
THE CONTINUOUS ELECTRON BEAM ACCELERATOR FACILITY ...,https://www.annualreviews.org/doi/abs/10.1146/annurev.nucl.51.101701.132327,Abstract The Jefferson Laboratory's superconducting radiofrequency (srf) Continuous Electron Beam Accelerator Facility (CEBAF) provides multi-GeV ...
"Design of a 10 MeV, 1000 kW average power electron-beam ...",https://link.aps.org/doi/10.1103/PhysRevAccelBeams.25.041601,"Apr 21, 2022 ... ... average power (1000 kW) electron-beam accelerator intended for irradiation treatment of high-volume industrial and municipal wastewater."
Energy and environmental management | IARC at Fermilab,https://iarc.fnal.gov/energy-and-environmental-management/,Energy and environmental management. Water Treatment via High Power Electron Beam Accelerator. Water treatment via high-power electron beam accelerator.
Machine Learning System Improves Accelerator Diagnostics ...,https://www.energy.gov/science/np/articles/machine-learning-system-improves-accelerator-diagnostics,"Jun 3, 2021 ... A view of the Continuous Electron Beam Accelerator Facility. This particle accelerator is a complex machine that enables scientists to study ..."
Electron Accelerator - an overview | ScienceDirect Topics,https://www.sciencedirect.com/topics/nursing-and-health-professions/electron-accelerator,"The electron beam is typically created using a high-energy electron beam accelerator, called a linear accelerator, sometimes abbreviated to linac. A linear ..."
Industrial applications of electron accelerators,https://cds.cern.ch/record/1005393/files/p383.pdf,"Avnery, Electron Beam Accelerator, U.S. Patent No. 5,962,995 (1999). [97] S.R. Farrell, L.J. Demeter and P.G. Woods, Broad Beam Electron Gun, U.S. Patent No."
NorthStar Medical Radioisotopes Receives Electron Beam ...,https://www.northstarnm.com/northstar-medical-radioisotopes-receives-electron-beam-accelerator-for-first-of-its-kind-commercial-scale-u-s-production-of-important-therapeutic-radioisotope-actinium-225-ac-225/,"Mar 1, 2023 ... A custom-built IBA Rhodotron®TT 300-HE (High Energy) electron beam accelerator has been delivered to NorthStar's new Ac-225 Production facility ..."
Electron Beam Accelerator Will Scale Production of Ac-225 ...,https://appliedradiology.com/articles/electron-beam-accelerator-will-scale-production-of-ac-225,"Under a new contract, NorthStar Medical Radioisotopes will purchase a third Rhodotron TT300 HE electron beam accelerator from IBA."
FAST electron beam achieves milestone energy for future ...,https://news.fnal.gov/2017/12/fast-electron-beam-achieves-milestone-energy-for-future-accelerator-rd/,"Dec 6, 2017 ... At the core of the electron-beam accelerator are superconducting elements whose development at Fermilab began in earnest in the late 1990s."
