title,link,snippet
Free-electron laser - Wikipedia,https://en.wikipedia.org/wiki/Free-electron_laser,A free-electron laser (FEL) is a (fourth generation) light source producing extremely brilliant and short pulses of radiation. An FEL functions and behaves ...
Jefferson Lab Free-Electron Laser Program,https://www.jlab.org/FEL/,"FEL. Jefferson Lab operates a kilowatt-class, high-average-power, sub-picosecond free-electron laser, covering the mid-infrared spectral region."
First Operation of a Free-Electron Laser,https://link.aps.org/doi/10.1103/PhysRevLett.38.892,"Apr 18, 1977 ... First Operation of a Free-Electron Laser. D. A. G. Deacon, L. R. Elias, J. M. J. Madey, G. J. Ramian, H. A. Schwettman, and T. I. Smith."
Tunable isolated attosecond X-ray pulses with gigawatt peak power ...,https://www.nature.com/articles/s41566-019-0549-5,"Dec 2, 2019 ... Here, we report the generation of isolated soft X-ray attosecond pulses with an X-ray free-electron laser. Our source has a pulse energy ..."
X-ray Free Electron Laser-Induced Synthesis of ε-Iron Nitride at High ...,https://pubs.acs.org/doi/10.1021/acs.jpclett.1c00150,"Mar 25, 2021 ... We acknowledge European XFEL in Schenefeld, Germany, for provision of X-ray free-electron laser beamtime at Scientific Instrument HED (High ..."
A compact X-ray free-electron laser emitting in the sub-ångström ...,https://www.nature.com/articles/nphoton.2012.141,"Jun 24, 2012 ... Abstract. The free-electron laser, first proposed by Madey in 1971, has significantly reduced laser wavelengths to the vacuum ultraviolet ..."
Free Electron Lasers - an overview | ScienceDirect Topics,https://www.sciencedirect.com/topics/physics-and-astronomy/free-electron-lasers,FEL is a light source based on high-energy electron beams that produce coherent ... Free Electron Laser (FEL) sources result from the interaction of an ...
Superradiance of an ensemble of nuclei excited by a free electron ...,https://www.nature.com/articles/s41567-017-0001-z,"Nov 20, 2017 ... Multiphoton superradiance is observed in a nuclear system excited by an X-ray free-electron laser. Tracking the system decay photon by ..."
Short-wavelength free-electron laser sources and science: a review ...,https://iopscience.iop.org/article/10.1088/1361-6633/aa7cca,"Oct 23, 2017 ... The free-electron laser concept was introduced by Madey in 1971 [28] without knowledge of the earlier work by Motz and Phillips [29]."
Acetylacetone photodynamics at a seeded free-electron laser ...,https://www.nature.com/articles/s41467-017-02478-0,"Jan 4, 2018 ... ... energy resolution, and femtosecond pulse duration of the FERMI-seeded free-electron laser can now provide exceptionally detailed ..."
SwissFEL: The Swiss X-ray Free Electron Laser,https://www.mdpi.com/2076-3417/7/7/720,"The SwissFEL X-ray Free Electron Laser (XFEL) facility started construction at the Paul Scherrer Institute (Villigen, Switzerland) in 2013 and will be ready ..."
Quantum imaging with incoherently scattered light from a free ...,https://www.nature.com/articles/nphys4301,"Oct 30, 2017 ... The intensity correlations in incoherently scattered X-rays from a free-electron laser can be exploited to image 2D objects with a ..."
Time- and momentum-resolved photoemission studies using time-of ...,https://aip.scitation.org/doi/10.1063/1.5118777,We have constructed and optimized a versatile setup commissioned at FLASH/PG2 that combines free-electron laser capabilities together with a multidimensional ...
Operation of a free-electron laser from the extreme ultraviolet to the ...,https://www.nature.com/articles/nphoton.2007.76,We report results on the performance of a free-electron laser operating at a wavelength of 13.7 nm where unprecedented peak and average powers for a ...
CXFEL - Compact X-ray Free Electron Laser | Department of Physics,https://physics.asu.edu/innitiativecenter/CFXEL,"The world's first CXFEL The compact X-ray free electron laser (CXFEL), currently being built at Arizona State University, will be the first of its kind in ..."
The Free Electron Laser |The National Academies Press,https://nap.nationalacademies.org/catalog/19614/the-free-electron-laser,"Contributor(s): Free Electron Laser Subcommittee; Solid State Sciences Committee (A Resource Paper); Commission on Physical Sciences, Mathematics, ..."
Femtosecond-Terawatt Hard X-Ray Pulse Generation with Chirped ...,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.129.213901,"Nov 18, 2022 ... Femtosecond-Terawatt Hard X-Ray Pulse Generation with Chirped Pulse Amplification on a Free Electron Laser. Haoyuan Li, James MacArthur, ..."
CXFEL | ASU Biodesign Institute,https://biodesign.asu.edu/cxfel/,The compact X-ray free electron laser (CXFEL) will provide super-short X-ray pulses that allow scientists to explore nature and materials as never before.
Enabling X-ray free electron laser crystallography for challenging ...,https://elifesciences.org/articles/05421,"Mar 17, 2015 ... Femtosecond X-ray free electron laser (XFEL) pulses enable the possibility of visualizing molecular structures before the onset of radiation ..."
"Free electron lasers, explained by RP Photonics Encyclopedia; FEL",https://www.rp-photonics.com/free_electron_lasers.html,"A free electron laser is a relatively exotic type of laser where optical amplification is achieved in an undulator, fed with high energy (relativistic) ..."
Novosibirsk Free Electron Laser—Facility Description and Recent ...,https://ieeexplore.ieee.org/document/7163372,"Jul 20, 2015 ... The design and operational characteristics of the Novosibirsk free electron laser facility are described. Selected experiments in the ..."
X-ray free-electron laser studies reveal correlated motion during ...,https://www.science.org/doi/10.1126/sciadv.abh0250,"Aug 20, 2021 ... X-ray free-electron laser studies including time-resolved crystallography and emission spectroscopy reveal how reaction of IPNS:Fe(II):ACV ..."
Linac Coherent Light Source | SLAC National Accelerator Laboratory,https://lcls.slac.stanford.edu/,World's First Hard X-ray Free-electron Laser · LCLS Announcements & Updates · Find Out More about LCLS · Latest Proposal Schedule · LCLS Science News · LCLS ...
Duke Free Electron Laser Laboratory | Department of Physics,https://physics.duke.edu/duke-free-electron-laser-laboratory,"The Duke Free Electron Laser Laboratory(FEL) operates a storage ring based free electron laser light source. This ultraviolet FEL, installed in a 1.2 GeV ..."
Selective photothermolysis of lipid-rich tissues: a free electron laser ...,https://pubmed.ncbi.nlm.nih.gov/17163478/,Photothermal excitation of porcine fat and dermis were measured with a 3.5-5 microm thermal camera during exposure to the free electron laser (FEL) at Jefferson ...
Ultrafast nonthermal heating of water initiated by an X-ray Free ...,https://www.pnas.org/doi/10.1073/pnas.1711220115,"May 14, 2018 ... Tightly focused pulses from an X-ray Free-Electron Laser (XFEL) cause severe ionization, leading to an exotic plasma state (1–3), ..."
Scientific Opportunities with an X-ray Free-Electron Laser Oscillator,https://arxiv.org/abs/1903.09317,"Mar 18, 2019 ... Abstract: An X-ray free-electron laser oscillator (XFELO) is a new type of hard X-ray source that would produce fully coherent pulses with ..."
ASU to build the world's first Compact X-ray Free Electron Laser ...,https://azpbs.org/horizon/2023/03/asu-to-build-the-worlds-first-compact-x-ray-free-electron-laser/,"Mar 14, 2023 ... What is the Compact X-ray Free Electron Laser? This is an x-ray that produce sharp images, “They are so sharp that they can get a picture of a ..."
Free-electron lasers,https://cds.cern.ch/record/941330/files/p477.pdf,Abstract. The synchrotron radiation of relativistic electrons in undulator magnets and the low-gain Free-Electron Laser (FEL) are discussed in some detail. The ...
X-ray Free Electron Laser (XFEL) | Ultrafast and High-Field X-ray ...,https://unlcms.unl.edu/physics-astronomy/fuchs-group/x-ray-free-electron-laser-xfel,Laser-Wakefield Acceleration · X-ray Free Electron Laser (XFEL) ... be achieved by “microbunching” where electrons are self-arranged by the FEL process into ...
"X-Ray Free Electron Lasers: Principles, Properties and Applications",https://www-ssrl.slac.stanford.edu/stohr/xfels.pdf,A free-electron laser that emits X-rays with a wavelength of the size of an atom (about. 1 Å) can be built because of a favorable and interesting phenomenon of ...
ASU to build the world's first Compact X-ray Free Electron Laser ...,https://azpbs.org/horizon/2023/03/asu-to-build-the-worlds-first-compact-x-ray-free-electron-laser/,"Mar 14, 2023 ... What is the Compact X-ray Free Electron Laser? This is an x-ray that produce sharp images, “They are so sharp that they can get a picture of a ..."
The UCSB Free Electron laser source | Materials Research ...,https://www.mrl.ucsb.edu/terahertz-facility/instruments/ucsb-free-electron-laser-source,"The UCSB Free Electron laser source offers high power terahertz radiation. The primary radiation source consists of two fully operational FELs, ..."
THE UCSB FREE ELECTRON LASERS,http://sbfel3.ucsb.edu/,"keywords: fel, free electron laser, fir, far infrared, millimeter wave, terahertz, undulator, coherent radiation, free electron lasers The UCSB ..."
Boeing Completes Preliminary Design of Free Electron Laser ...,https://boeing.mediaroom.com/2010-03-18-Boeing-Completes-Preliminary-Design-of-Free-Electron-Laser-Weapon-System,"Mar 18, 2010 ... ""The Free Electron Laser will use a ship's electrical power to create, in effect, unlimited ammunition and provide the ultra-precise, ..."
Crystallographic data processing for free-electron laser sources - PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3689526/,"Jun 15, 2013 ... The methodology of recording one diffraction pattern per crystal using a free-electron laser has been given the name 'serial femtosecond ..."
The FHI free-electron laser (FEL) facility,https://www.fhi.mpg.de/230029/FEL,The free-electron laser (FEL) at the Fritz Haber Institute (FHI) generates intense pulses of infrared (IR) radiation of widely tunable wavelength from 3 µm ...
"Effects of x-ray free-electron laser pulse intensity on the Mn Kβ1,3 x ...",https://aca.scitation.org/doi/10.1063/4.0000130,"Nov 22, 2021 ... This situation dramatically changed with the advent of the x-ray free-electron laser (XFEL), where extremely intense femtosecond x-ray pulses ..."
Considerations for a free-electron laser-based extreme-ultraviolet ...,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/9422/94220D/Considerations-for-a-free-electron-laser-based-extreme-ultraviolet-lithography/10.1117/12.2085538.full,"Mar 13, 2015 ... A free-electron laser (FEL) offers a cost effective, single-source alternative for powering an entire EUV lithography program."
"Carlsten, Nguyen and Sheffield win Free-Electron Laser Prize",https://www.lanl.gov/discover/news-release-archive/2017/September/0906-free-electron-laser-prize.php,"Sep 6, 2017 ... Los Alamos scientists Bruce Carlsten, Richard Sheffield and Dinh Nguyen receive the 2017 Free Electron Laser Prize at an international ..."
CFEL,https://www.cfel.de/,"The Center for Free-Electron Laser Science as a joint enterprise of DESY, the Max Planck Society (MPG), and the University of Hamburg is designed to advance ..."
Pohang Accelerator Laboratory X-ray Free Electron Laser (PAL ...,https://lightsources.org/lightsources-of-the-world/asia-oceania/pohang-accelerator-laboratory-x-ray-free-electron-laser-pal-xfel/,here Pohang Accelerator Laboratory X-ray Free Electron Laser (PAL-XFEL) project was started in 2011 for the generation of X-ray FEL radiation in a range of ...
RIKEN/HARIMA X-ray Free Electron Lase,http://xfel.riken.jp/eng/,RIKEN/HARIMA X-ray free electron laser XFEL.
Megahertz x-ray microscopy at x-ray free-electron laser and ...,https://opg.optica.org/optica/abstract.cfm?uri=optica-6-9-1106,"Further advancement of ultrafast x-ray imaging could be introduced by megahertz (MHz) x-ray free-electron laser (XFEL) sources, where the high flux per ..."
Front Matter | Scientific Assessment of High-Power Free-Electron ...,https://www.nap.edu/read/12484/chapter/1,Read chapter Front Matter: This book presents a scientific assessment of free-electron-laser technology for naval applications. The charge from the Office.
Modelling dynamics of samples exposed to free-electron-laser ...,https://link.springer.com/article/10.1140/epjd/e2006-00240-x,"Nov 1, 2006 ... Modelling dynamics of samples exposed to free-electron-laser radiation with Boltzmann equations. B. Ziaja,; A. R.B. de Castro, ..."
Free-electron laser Definition & Meaning - Merriam-Webster,https://www.merriam-webster.com/dictionary/free-electron%20laser,The meaning of FREE-ELECTRON LASER is a laser that can be tuned over a wide range of frequencies and that produces electromagnetic radiation by the motion ...
