title,link,snippet
Industrial irradiation facilities around the world | IAEA,https://www.iaea.org/newscenter/news/where-can-you-find-industrial-irradiation-facilities-visit-a-new-online-database,"Dec 15, 2020 ... The IAEA has recently published its updated Database on Industrial Irradiation Facilities (DIIF), featuring an interactive map with ..."
APHIS Certified Irradiation Treatment Facilities in the United States,https://www.aphis.usda.gov/import_export/plants/manuals/ports/downloads/aphis-certified-irradiation-facilities.pdf,"Jul 1, 2022 ... Facility Name. City. State Phone. Website. Calavo Grower's, Inc. 1. Hawaii Pride. Keaau. HI. 808-982-8880. Paina Hawaii 1."
"Radiation Safety of Gamma, Electron and X Ray Irradiation Facilities ...",https://www.iaea.org/publications/8401/radiation-safety-of-gamma-electron-and-x-ray-irradiation-facilities,... Guide provides recommendations on how to meet the requirements of the IAEA International Basic Safety Standards with regard to irradiation facilities.
Irradiation Facilities | Radiation Center | Oregon State University,https://radiationcenter.oregonstate.edu/content/irradiation-facilities,A number of irradiation facilities are available at the Radiation Center as a part of the Oregon State TRIGA reactor. Rotating Rack (Lazy Susan)Pneumantic ...
Food irradiation - Wikipedia,https://en.wikipedia.org/wiki/Food_irradiation,"In the case of large research or contract irradiation facilities, major capital costs include a radiation source, hardware (irradiator, totes and conveyors, ..."
Irradiation Facilities and Irradiation Methods for High Power Target,https://arxiv.org/abs/2203.08239,"Mar 15, 2022 ... Irradiation facilities and alternative methods are critical to provide a full support of material R&D and better address these critical ..."
List of approved facilities for the treatment of foods and food ...,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52016XC1104(01)&from=PL,"Nov 4, 2016 ... Approved irradiation facilities. Source. Reference No,. Name. Address. Further details of approval. AT. None. BE."
Irradiation Treatment; Location of Facilities in the ... - Federal Register,https://www.federalregister.gov/documents/2012/07/20/2012-17725/irradiation-treatment-location-of-facilities-in-the-southern-united-states,"Jul 20, 2012 ... The regulations do allow irradiation facilities to be located at the maritime ports of Gulfport, MS, and Wilmington, NC, and the airport of ..."
Experimental determination of proton hardness factors at several ...,https://iopscience.iop.org/article/10.1088/1748-0221/14/12/P12004,"Experimental determination of proton hardness factors at several irradiation facilities. P. Allport1, F. Bögelspacher3, K. Bruce1, R. Canavan1, A. Dierlamm3 ..."
Computational analysis of the dose rates at JSI TRIGA reactor ...,https://pubmed.ncbi.nlm.nih.gov/28965017/,Computational analysis of the dose rates at JSI TRIGA reactor irradiation facilities. Appl Radiat Isot. 2017 Dec;130:140-152. doi: ...
Computational analysis of irradiation facilities at the JSI TRIGA reactor,https://www.sciencedirect.com/science/article/pii/S0969804311005963,Accurate and reliable information on neutron flux and spectra in irradiation facilities is one of the key factors for performing good research work. The main ...
Pages - Welcome to DIIF Portal,https://nucleus.iaea.org/sites/diif/Pages/Home.aspx,"The database irradiation facilities are classified according to geographical region, country, machine type and beam energy range, or Co-60 activity, uses, ..."
Shielding Aspects of Accelerators ... - Nuclear Energy Agency (NEA),https://www.oecd-nea.org/jcms/pl_62971/shielding-aspects-of-accelerators-targets-and-irradiation-facilities-satif-14,"Dec 16, 2021 ... Shielding Aspects of Accelerators, Targets and Irradiation Facilities (SATIF-14). NEA/NSC/R(2021)2. Adobe Acrobat PDF Document - on 2/16/23 ..."
KM X-ray irradiation facilities | Karolinska Institutet,https://ki.se/en/km/km-x-ray-irradiation-facilities,"Jan 20, 2023 ... KM X-ray irradiation facilities ... The Xstrahl CIX3 is an X-ray cabinet for irradiation of small animals, at KM-A/KM-B/KM-F. X- ..."
SATIF-15: 15th workshop on ... - Nuclear Energy Agency (NEA),https://www.oecd-nea.org/jcms/pl_61651/satif-15-15th-workshop-on-shielding-aspects-of-accelerators-targets-and-irradiation-facilities-satif,"The 15th workshop on Shielding aspects of Accelerators, Targets, and Irradiation Facilities (SATIF) is tentatively planned to be held in East Lansing, ..."
Radiation Safety of Gamma and Electron Irradiation Facilities,https://inis.iaea.org/collection/NCLCollectionStore/_Public/23/063/23063424.pdf,"Radiation safety of gamma and electron irradiation facilities. — Vienna : Inter- national Atomic Energy Agency, 1992. p. ; 24 cm. - (Safety series, ISSN 0074- ..."
Irradiation facilities - TUM FRMII,https://www.frm2.tum.de/en/frm2/the-neutron-source/irradiation-facilities/,"Irradiation facilities. View of the reactor pool and its irradiation facilities. (Photo: Eckert/Heddergott, TUM). The fission of uranium initially supplies ..."
NSUF: Home Page,https://nsuf.inl.gov/,The NSUF offers researchers access to best-in-class gamma irradiation facilities. Reactors. The NSUF offers ten reactor facilities to users whose proposals are ...
AIDA-2020 Poster Irradiation Facilities at CERN,https://cds.cern.ch/record/2288578/files/AIDA-2020-POSTER-2017-004.pdf,"Irradiation Facilities at CERN. Gkotse, B. (CERN) et al. 04 October 2017. The AIDA-2020 Advanced European Infrastructures for Detectors at Accelerators ..."
Irradiation Facilities at CERN | IEEE Conference Publication | IEEE ...,https://ieeexplore.ieee.org/document/8696163,"CERN provides unique irradiation facilities for applications in many scientific fields. This paper summarizes the facilities currently operating for proton, ..."
Irradiation Facilities at CERN | IEEE Conference Publication | IEEE ...,https://ieeexplore.ieee.org/document/8696163,"CERN provides unique irradiation facilities for applications in many scientific fields. This paper summarizes the facilities currently operating for proton, ..."
Penn State Engineering: Co60 Gamma Ray Irradiation,https://www.rsec.psu.edu/Co60_Gamma_Ray_Irradiation.aspx,"The Radiation Science and Engineering Center has two gamma-ray irradiation facilities, which provide flexibility for research and industry projects."
arXiv: Experimental Determination of Proton Hardness Factors at ...,https://cds.cern.ch/record/2687706?ln=en,"Aug 28, 2019 ... Title, Experimental Determination of Proton Hardness Factors at Several Irradiation Facilities. Author(s), Allport, P. (Birmingham U.) ..."
7 CFR 305.9 -- Irradiation treatment requirements. - eCFR,https://www.ecfr.gov/current/title-7/subtitle-B/chapter-III/part-305/section-305.9,"For irradiation facilities located in the States of Alabama, Arizona, California, Florida, Georgia, Kentucky, Louisiana, Mississippi, Nevada, New Mexico, North ..."
