title,link,snippet
Plasma acceleration - Wikipedia,https://en.wikipedia.org/wiki/Plasma_acceleration,"For example, an experimental laser plasma accelerator at Lawrence Berkeley National Laboratory accelerates electrons to 1 GeV over about 3.3 cm (5.4x1020 ..."
Demonstration of a compact plasma accelerator powered by laser ...,https://www.nature.com/articles/s41467-021-23000-7,"May 17, 2021 ... Few femtosecond, few kiloampere electron bunch produced by a laser–plasma accelerator. Nat. Phys. 7, 219–222 (2011)."
Decoding Sources of Energy Variability in a Laser-Plasma Accelerator,https://link.aps.org/doi/10.1103/PhysRevX.10.031039,"Aug 18, 2020 ... Decoding Sources of Energy Variability in a Laser-Plasma Accelerator. Andreas R. Maier, Niels M. Delbos, Timo Eichner, Lars Hübner, ..."
A laser–plasma accelerator producing monoenergetic electron ...,https://www.nature.com/articles/nature02963,"Sep 30, 2004 ... A laser–plasma accelerator producing monoenergetic electron beams. J. Faure,; Y. Glinec, ..."
Optimal Beam Loading in a Laser-Plasma Accelerator,https://link.aps.org/doi/10.1103/PhysRevLett.126.174801,"Apr 26, 2021 ... Optimal Beam Loading in a Laser-Plasma Accelerator. Manuel Kirchen, Sören Jalas, Philipp Messner, Paul Winkler, Timo Eichner, Lars Hübner, ..."
Laser Plasma Accelerators: Background and Motivation,https://bella.lbl.gov/laser-plasma-accelerators-background-and-motivation/,"laser plasma accelerator cavity. 20 cm long laser plasma acceleration cavity. Accelerating structures: Traditional linacs use electric fields, ..."
"Low Emittance, High Brilliance Relativistic Electron Beams from a ...",https://link.aps.org/doi/10.1103/PhysRevLett.105.215007,"Nov 19, 2010 ... Low Emittance, High Brilliance Relativistic Electron Beams from a Laser-Plasma Accelerator. E. Brunetti, R. P. Shanks, G. G. Manahan, ..."
A laser-plasma accelerator producing monoenergetic electron beams,https://pubmed.ncbi.nlm.nih.gov/15457253/,A laser-plasma accelerator producing monoenergetic electron beams. Nature. 2004 Sep 30;431(7008):541-4. doi: 10.1038/nature02963.
Bayesian Optimization of a Laser-Plasma Accelerator,https://link.aps.org/doi/10.1103/PhysRevLett.126.104801,"Mar 11, 2021 ... Bayesian Optimization of a Laser-Plasma Accelerator. Sören Jalas, Manuel Kirchen, Philipp Messner, Paul Winkler, Lars Hübner, ..."
A laser-plasma accelerator driven by two-color relativistic ...,https://www.science.org/doi/10.1126/sciadv.aav7940,"Nov 22, 2019 ... A typical laser-plasma accelerator (LPA) is driven by a single, ultrarelativistic laser pulse from terawatt- or petawatt-class lasers."
High-charge relativistic electron bunches from a kHz laser-plasma ...,https://link.aps.org/doi/10.1103/PhysRevAccelBeams.21.013401,"Jan 29, 2018 ... High-charge relativistic electron bunches from a kHz laser-plasma accelerator. D. Gustas, D. Guénot, A. Vernier, S. Dutt, F. Böhle, ..."
A laser-plasma accelerator driven by two-color relativistic ...,https://pubmed.ncbi.nlm.nih.gov/31803828/,"Nov 22, 2019 ... A typical laser-plasma accelerator (LPA) is driven by a single, ultrarelativistic laser pulse from terawatt- or petawatt-class lasers."
Laser-plasma accelerator group | University of Oxford Department of ...,https://www.physics.ox.ac.uk/research/group/laser-plasma-accelerator-group,Laser-plasma accelerator group. Research group. Research theme. Accelerator physics · Lasers and high energy density science · Plasma physics. Sub ...
Observation of beam loading in a laser-plasma accelerator,https://arxiv.org/abs/0904.4763,"Apr 30, 2009 ... An experimental study conducted with a laser-plasma accelerator is presented. Beam loading manifests itself through the decrease of the beam ..."
Parametric emittance measurements of electron beams produced by ...,https://iopscience.iop.org/article/10.1088/1361-6587/aab6cd,"Parametric emittance measurements of electron beams produced by a laser plasma accelerator. S K Barber1 , J van Tilborg1, C B Schroeder1, R Lehe1, ..."
Berkeley Lab Laser Accelerator,https://atap.lbl.gov/berkeley-lab-laser-accelerator-bella/,"The laser-plasma accelerator (LPA) is a potentially revolutionary concept, now in its exciting early days, for making accelerators smaller and more ..."
"Coupling 2 'Tabletop' Laser-Plasma Accelerators, a Decisive First ...",https://newscenter.lbl.gov/2016/02/01/2-stage-laser-plasma-accelerator/,"Feb 1, 2016 ... An experiment at Berkeley Lab showed that a laser pulse can accelerate an electron beam and couple it to a second laser plasma accelerator."
Consortium sets out to build European laser plasma accelerator ...,https://physicsworld.com/a/consortium-sets-out-to-build-european-laser-plasma-accelerator/,"Apr 27, 2016 ... Accelerator physicists in five European countries are developing plans for the world's first high-energy laser plasma accelerator facility ..."
