title,link,snippet
Department of Energy Announces $8.6 Million for Research on ...,https://www.energy.gov/science/articles/department-energy-announces-86-million-research-accelerator-rd-nuclear-physics,"Nov 17, 2022 ... ... and Development (R&D) for Next Generation Nuclear Physics Accelerator Facilities and a companion national laboratory announcement."
FY2022 Research and Development for Next Generation Nuclear ...,https://researchfunding.duke.edu/fy2022-research-and-development-next-generation-nuclear-physics-accelerator-facilities,FY2022 Research and Development for Next Generation Nuclear Physics Accelerator Facilities. Funding Agency: Department of Energy.
DEPARTMENT OF ENERGY (DOE) OFFICE OF SCIENCE (SC ...,https://science.osti.gov/-/media/grants/pdf/foas/2022/SC_FOA_0002670.pdf,"Feb 10, 2022 ... GENERATION NUCLEAR PHYSICS ACCELERATOR FACILITIES. FUNDING OPPORTUNITY ANNOUNCEMENT (FOA) NUMBER: DE-FOA-0002670. FOA TYPE: INITIAL."
NUCLEAR PHYSICS ACCELERATOR TECHNOLOGY | SBIR.gov,https://www.sbir.gov/node/1674825,NUCLEAR PHYSICS ACCELERATOR TECHNOLOGY. Agency: Department of Energy. Branch: N/A. Program | Phase | Year: BOTH | Phase I | 2019. Solicitation:.
Appendix: Accelerator Facilities for Nuclear Physics in the United ...,https://www.nap.edu/read/6288/chapter/11,2 summarize nuclear physics accelerator facilities currently in operation or under construction in the United States. In addition to the accelerator parameters ...
NUCLEAR PHYSICS ACCELERATOR TECHNOLOGY | SBIR.gov,https://www.sbir.gov/node/1652033,NUCLEAR PHYSICS ACCELERATOR TECHNOLOGY. Agency: Department of Energy. Branch: N/A. Program | Phase | Year: BOTH | Phase I | 2020. Solicitation:.
Nuclear Physics Accelerator Technology Yields New Process for ...,https://www.jlab.org/research/RHL_boron-nitride,Nuclear Physics Accelerator Technology Yields New Process for Producing Boron-Nitride Nanotubes. A yarn spun of boron-nitride nanotubes suspends a quarter.
Building a nuclear physics accelerator at Notre Dame,https://www.wndu.com/content/news/Building-a-nuclear-physics-accelerator-at-Notre-Dame-405969075.html,"Building a nuclear physics accelerator at Notre Dame. (WNDU). By Jen Cardone. Published: Dec. 11, 2016 at 9:44 PM PST. Subtitle Settings."
"Experimental particle and nuclear physics, accelerator physics (A2 ...",https://www.phys.s.u-tokyo.ac.jp/en/lp/a2/,"Experimental particle and nuclear physics, accelerator physics (A2). Research Areas: Experimental particle physics, Experimental Nuclear Physics, ..."
Editorial: Applied Nuclear Physics at Accelerators - Frontiers,https://www.frontiersin.org/articles/10.3389/fphy.2021.669271/full,"Mar 12, 2021 ... The largest nuclear physics accelerator under construction is the Facility for Antiprotons and Ion research (FAIR), built by the GSI ..."
From Quarks to Stars; A Quantum Computing Approach to the ...,https://pamspublic.science.energy.gov/WebPAMSExternal/Interface/Common/ViewPublicAbstract.aspx?rv=e85985d7-ea6d-4ca1-b557-04351110af2d&rtc=24&PRoleId=10,... many-body problem is at the core of many experiments and theoretical studies supported at existing Nuclear Physics accelerator facilities.
FY2022 Research and Development for Next Generation Nuclear ...,https://www.highergov.com/grant-opportunity/fy2022-research-and-development-for-next-generation-nuclear-physics-accelerator-337902/,On 2/10/22 Office of Science issued DE-FOA-0002670 for FY2022 Research and Development for Next Generation Nuclear Physics Accelerator Facilities with ...
Accelerator Complex,https://pls.llnl.gov/resources/accelerator-complex,"... provides unique experimental capabilities in experimental nuclear physics, accelerator physics, detector development, and nuclear reaction modeling."
Accelerator-Driven System at Kyoto University Critical Assembly,https://library.oapen.org/handle/20.500.12657/48239,"... Nuclear Chemistry; Particle Acceleration and Detection, Beam Physics; Nuclear Physics; Accelerator Physics; Open Access; Reactor Physics Experiments; ..."
News & Announcements | Argonne National Laboratory,https://www.anl.gov/atlas/news-announcements,"Giving ATLAS a Boost. New twin enhancements dramatically improve beam quality. October 14, 2019 | Nuclear Physics, Accelerator Physics, low-energy physics."
