title,link,snippet
Particle accelerator - Wikipedia,https://en.wikipedia.org/wiki/Particle_accelerator,"Particle accelerators can also produce proton beams, which can produce proton-rich medical or research isotopes as opposed to the neutron-rich ones made in ..."
How Particle Accelerators Work | Department of Energy,https://www.energy.gov/articles/how-particle-accelerators-work,"Jun 18, 2014 ... Particle accelerators use electric fields to speed up and increase the energy of a beam of particles, which are steered and focused by magnetic ..."
Accelerators | CERN,https://home.cern/science/accelerators,Accelerators. CERN hosts a gigantic complex of particle accelerators. But what are these machines and how do they work?
DOE Explains...Particle Accelerators | Department of Energy,https://www.energy.gov/science/doe-explainsparticle-accelerators,"Specifically, particle accelerators speed up charged particles. These are particles with a positive or negative electrical charge such as protons, atomic nuclei ..."
What Are Particle Accelerators? | IAEA,https://www.iaea.org/newscenter/news/what-are-particle-accelerators,"May 10, 2022 ... Particle accelerators produce and accelerate beams of charged particles, such as electrons, protons and ions, of atomic and sub-atomic size."
Particle Accelerators and Radiation Research | US EPA,https://www.epa.gov/radtown/particle-accelerators-and-radiation-research,"Oct 17, 2022 ... Certain particle accelerators, called colliders, are special machines that can “smash” atoms into pieces using charged particles like ..."
"Particle accelerator | Definition, Types, History, & Facts | Britannica",https://www.britannica.com/technology/particle-accelerator,"In large high-energy particle accelerators, protons are often produced initially in the form of negative hydrogen ions. These are hydrogen atoms with an extra ..."
Particle Accelerators Around the World - ELSA,http://www-elsa.physik.uni-bonn.de/accelerator_list.html,"Sep 28, 2022 ... Particle Accelerators Around the World ; BERLinPro, Berlin Energy Recovery Linac Project, Helmholtz-Zentrum Berlin für Materialien und Energie ..."
Science | Particle Accelerators - Fermilab,https://www.fnal.gov/pub/science/particle-accelerators/index.html,"Mar 1, 2019 ... As America's particle physics laboratory, Fermilab operates and builds powerful particle accelerators for investigating the smallest things ..."
Decommissioning of Particle Accelerators | IAEA,https://www.iaea.org/publications/12371/decommissioning-of-particle-accelerators,This publication presents information on experience and lessons learned from implementation of decommissioning projects for particle accelerators.
