title,link,snippet
Spallation Neutron Source - Wikipedia,https://en.wikipedia.org/wiki/Spallation_Neutron_Source,"For other spallation neutron sources, see Spallation § Spallation facilities. The Spallation Neutron Source (SNS) is an accelerator-based neutron source ..."
Physics and technology of spallation neutron sources - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S016890020100167X,"So, spallation neutron sources offer a wide variety of choices and, of course, require different technical solutions for different optimization criteria."
Neutronics of pulsed spallation neutron sources - IOPscience,https://iopscience.iop.org/article/10.1088/0034-4885/66/3/202,Neutronics of pulsed spallation neutron sources. Noboru Watanabe1. Published 21 February 2003 • Published under licence by IOP Publishing Ltd
Spallation Neutron Sources,https://accelconf.web.cern.ch/l94/papers/tu1-02.pdf,"SPALLATION NEUTRON SOURCES*. H. Klein. Institut fUr Angewandte Physik der J. W. Gocthe-UniversiUil. D-60054 Frankfurt am Main, FRG. Abstract."
The Los Alamos Neutron Science Center Spallation Neutron Sources,https://www.sciencedirect.com/science/article/pii/S1875389217301943,The Los Alamos Neutron Science Center Spallation Neutron Sources☆. Author links open overlay panel. Suzanne F.Nowickia. Stephen A.Wenderb. MichaelMockob.
Detection of supernova neutrinos at spallation neutron sources,https://arxiv.org/abs/1511.00806,"Nov 3, 2015 ... Furthermore, the numerical calculation method of supernova neutrino detection on the Earth is applied to some other spallation neutron sources, ..."
"Pulsed spallation neutron sources: Physics Today: Vol 32, No 12",https://physicstoday.scitation.org/doi/10.1063/1.2995314,"Pulsed spallation neutron sources. These new, intense neutron sources take up where high‐flux reactors leave off, making possible a host of new structural ..."
SPALLATION NEUTRON SOURCES FOR SCIENCE AND ...,https://inis.iaea.org/collection/NCLCollectionStore/_Public/43/099/43099436.pdf,"Nov 24, 2011 ... Increasing interest has been noticed in spallation neutron sources (SNS) during the past. 20 years. The system includes high current proton ..."
1 SPALLATION NEUTRON SOURCE AND OTHER HIGH ...,https://arxiv.org/pdf/physics/0301025,"Spallation neutron sources are an important type of high intensity proton sources. However, a high intensity proton source may find many other applications."
High-energy in-beam neutron measurements of metal-based ...,https://link.aps.org/doi/10.1103/PhysRevAccelBeams.19.053501,"May 31, 2016 ... High-energy in-beam neutron measurements of metal-based shielding for accelerator-driven spallation neutron sources."
High-power proton accelerators for pulsed spallation neutron sources,https://link.springer.com/article/10.1007/s43673-021-00025-0,"Oct 4, 2021 ... With the spread of accelerator-driven pulsed spallation neutron sources and increasing need for higher neutron fluxes, the high-power ..."
Cu-based alloys as a benchmark for T-PGAA quantitative analysis at ...,https://pubs.rsc.org/en/content/articlelanding/2020/ja/c9ja00268e,"Cu-based alloys as a benchmark for T-PGAA quantitative analysis at spallation neutron sources · * · Università degli Studi di Roma “Tor Vergata”, NAST Centre and ..."
Fundamental Neutron Physics at Spallation Sources | Annual ...,https://www.annualreviews.org/doi/abs/10.1146/annurev-nucl-121521-051029,Table 1 -Operating parameters for existing and upcoming spallation neutron sources with fundamental physics programs · Previous Article Next Article.
Reactor & Spallation Neutron Sources,https://www.oxfordneutronschool.org/2013/Lectures/Andersen-Neutron_Sources.pdf,"Sep 4, 2013 ... ILL (F). X. X. HZB (D). X. X. PSI (CH). X. X. FRM-II (D). X. X. HFIR (USA). X. X. NIST (USA). X. X. JRR-3 (J)."
"ISIS In Memoriam: Jack Carpenter, 'father' of spallation neutron ...","https://www.isis.stfc.ac.uk/Pages/Sadness-as-Jack-Carpenter,-'father'-of-spallation-neutron-sources,-passes-away.aspx","Mar 16, 2020 ... ​Jack was quite justifiably known as the 'father' of spallation neutron sources – ISIS would probably not exist without his early pioneering ..."
Experiments to Study the Performance of Spallation Neutron Sources -,https://onlinelibrary.wiley.com/doi/full/10.1002/9783527628865.ch13,"Mar 9, 2010 ... Experiments to Study the Performance of Spallation Neutron Sources. Prof. Dr. Detlef Filges. Institut für Kernphysik, Forschungszentrum ..."
Spallation Neutron Sources - IDOM,https://www.idom.com/en/project/spallation-neutron-sources/,"Spallation Neutron Sources. Europe | USA. IDOM collaborated with ESS Bilbao and the Spallation Neutron Source (SNS, Oak Ridge National Laboratory, ..."
Pages - Spallation,https://nucleus.iaea.org/sites/accelerators/Pages/Spallation.aspx,Below you will find a list of Spallation Neutron Sources around the world for neutron scattering and nuclear physics. You can sort or filter by other ...
In Memoriam: Remembering 'Father of Spallation' John M. 'Jack ...,https://www.anl.gov/article/in-memoriam-remembering-father-of-spallation-john-m-jack-carpenter,"Mar 13, 2020 ... “Jack was one of the main driving forces behind the development of spallation neutron sources. His presence, intellect, sense of humor, ..."
Radiative neutron capture as a counting technique at pulsed ...,https://ui.adsabs.harvard.edu/abs/2016RPPh...79i4301S/abstract,"Radiative neutron capture as a counting technique at pulsed spallation neutron sources: a review of current progress. Schooneveld, E. M.; ;; Pietropaolo, A."
Neutron Sources,https://fire.pppl.gov/neutron_sources_aug_00.ppt,Pulsed Spallation Neutron Sources (primary source pulse widths of all are less than 0.5 µsec). 2000-05277 uc/arb. SNS Experimental Facilities. Oak Ridge.
Next Generation Neutron Sources - MRS article,https://www.ornl.gov/~webworks/cppr/y2001/misc/117828.pdf,"projects, the spallation neutron sources in the US (SNS) and in Japan (J-PARC), and the European proposal for a spallation source (ESS) which is still ..."
Neutron Sources for America's Future,https://science.osti.gov/-/media/bes/besac/pdf/Neutron_source_america_future.pdf,"in large volumes considerably favors reactor facilities, although spallation neutron sources are advantageous for certain experiments."
International Collaboration on Advanced Neutron Source,https://neutronsources.org/calendar/regular-events/icans/,... of laboratories whose scientists and engineers are involved in developing pulsed neutron sources and accelerator based spallation neutron sources.
International Collaboration on Advanced Neutron Sources (ICANS ...,https://conference.sns.gov/event/138/timetable/?view=standard,"Spallation neutron sources deliver outstanding experimental conditions to perform simultaneously a combined measurement of specular reflection, OSS and GISANS ..."
A target development program for beamhole spallation neutron ...,https://aip.scitation.org/doi/pdf/10.1063/1.49146,"Spallation Neutron Sources in the Megawatt Range. G.S. Bauer*, F. Atchison*, T.A. Broome § H.M. Conrad s. *Paul Scherrer Institut, CH-5232 Villigen PSI."
Fundamental Neutron Physics at Spallation Sources,https://encompass.eku.edu/cgi/viewcontent.cgi?article=1521&context=fs_research,"moment, time-reversal symmetry violation, spallation neutron sources. Abstract. Low-energy neutrons have been a useful probe in fundamental physics stud-."
Development opportunities for small and medium scale accelerator ...,https://www-pub.iaea.org/MTCD/publications/PDF/te_1439_web.pdf,Small and medium power spallation neutron sources will become more important as many small neutron producing research reactors are being phased out.
SPALLDOS: New Neutron Metrology Cross-Section Library for Use ...,https://www.astm.org/stp13622s.html,"Jan 1, 2001 ... A new high-energy neutron cross-section library has been prepared for use at spallation neutron sources. First a master library, ..."
Japan Spallation Neutron Source (JSNS) of J-PARC: Nuclear ...,https://www.tandfonline.com/doi/abs/10.1080/10506890903405316,"Dec 19, 2009 ... Hence, building spallation neutron sources instead of reactors is becoming a world trend as demonstrated by the Spallation Neutron Source ..."
New APS Study on Nuclear Reactor Neutron Sources,https://www.aps.org/publications/apsnews/updates/neutron-sources.cfm,"Aug 8, 2018 ... Pins denote reactor-based facilities and stars represent spallation neutron sources. Green, orange, and red symbols represent facilities ..."
Strong Neutron Sources_final,https://www.hsfk.de/fileadmin/HSFK/hsfk_downloads/Strong_Neutron_Sources_final.pdf,of fusion and spallation neutron sources? ... plants or spallation neutron sources (SNS) – could also potentially be used to produce.
"References For: Phys. Rev. Accel. Beams 19, 053501 (2016) - High ...",https://journals.aps.org/prab/references/10.1103/PhysRevAccelBeams.19.053501,"May 31, 2016 ... High-energy in-beam neutron measurements of metal-based shielding for accelerator-driven spallation neutron sources."
High-power proton accelerators for pulsed spallation neutron sources,https://search.proquest.com/openview/de4543edc60b459dccd40c70104d6488/1?pq-origsite=gscholar&cbl=5643011,"Accelerator-driven spallation neutron sources are currently in operation worldwide, producing cutting-edge research results in a variety of fields, including ..."
